domain,name,affiliation,email,citations,hindex,i10index,profile
puc.edu.kh,Kimkong Heng,Paññāsāstra University of Cambodia,Verified email at puc.edu.kh -Homepage,3272,26,60,https://scholar.google.com/citations?hl=en&user=qrYZkg4AAAAJ
puc.edu.kh,Koemhong Sol,Paññāsāstra University of Cambodia,Verified email at puc.edu.kh,958,14,18,https://scholar.google.com/citations?hl=en&user=mD_vqdgAAAAJ
puc.edu.kh,Meas Nearyroth,Professor,Verified email at puc.edu.kh,11,1,1,https://scholar.google.com/citations?hl=en&user=Dv5bnF0AAAAJ
puc.edu.kh,Dr. Vanna Nourn,"Vice Dean of faculty of Education, Arts, and Humanities",Verified email at puc.edu.kh,3,1,0,https://scholar.google.com/citations?hl=en&user=k_WlkPoAAAAJ
puc.edu.kh,Horn Ken,Paññāsāstra University of Cambodia,Verified email at puc.edu.kh -Homepage,,,,https://scholar.google.com/citations?hl=en&user=EjxQ1zsAAAAJ
puc.edu.kh,Thou Pol,Paññāsāstra University of Cambodia,Verified email at puc.edu.kh -Homepage,,,,https://scholar.google.com/citations?hl=en&user=WkcBw7EAAAAJ
aib.edu.kh,Sokha Norng,ACLEDA University of Business,Verified email at acleda-aib.edu.kh -Homepage,82,4,2,https://scholar.google.com/citations?hl=en&user=I3QDthQAAAAJ
dmu.ac.uk,Francisco Chiclana,"Professor of Computational Intelligence and Decision Making,De Montfort University, UK",Verified email at dmu.ac.uk -Homepage,31983,92,251,https://scholar.google.com/citations?hl=en&user=qDOxZIIAAAAJ
dmu.ac.uk,Shengxiang Yang,"IEEE Fellow, AAIS Fellow, Professor of Computational Intelligence,De Montfort University",Verified email at dmu.ac.uk -Homepage,27347,83,345,https://scholar.google.com/citations?hl=en&user=Yblf_UQAAAAJ
dmu.ac.uk,Philomena Imade Omoregie Osagie,Public Health and Community Mental Health | UK,Verified email at my365.dmu.ac.uk -Homepage,21903,14,17,https://scholar.google.com/citations?hl=en&user=dFqVkAgAAAAJ
dmu.ac.uk,Leandros Maglaras,"ISI WoS Highly Cited Researcher, Visiting Professor of Cybersecurity,De Montfort University",Verified email at dmu.ac.uk -Homepage,18703,59,175,https://scholar.google.com/citations?hl=en&user=vOBs39wAAAAJ
dmu.ac.uk,Richard G. Smith,"Associate Professor of Cyber Security,De Montfort University",Verified email at dmu.ac.uk,13862,47,230,https://scholar.google.com/citations?hl=en&user=twAExRoAAAAJ
dmu.ac.uk,Ahmed Bahiya,DMU,Verified email at myemail.dmu.ac.uk,12900,48,208,https://scholar.google.com/citations?hl=en&user=9e0rK5cAAAAJ
dmu.ac.uk,Yuan Tian,"Associate Professor,De Montfort University",Verified email at dmu.ac.uk -Homepage,12080,36,80,https://scholar.google.com/citations?hl=en&user=V7VdW6gAAAAJ
dmu.ac.uk,Professor Martin Grootveld,De Montfort University,Verified email at dmu.ac.uk,11912,54,161,https://scholar.google.com/citations?hl=en&user=lTLN7tcAAAAJ
dmu.ac.uk,Stephen Ison,"Professor of Air Transport Policy,De Montfort University",Verified email at dmu.ac.uk,10570,57,149,https://scholar.google.com/citations?hl=en&user=ZmJ0Rz8AAAAJ
dmu.ac.uk,Professor David Rae,"Professor of Enterprise,De Montfort University, Leicester, UK",Verified email at dmu.ac.uk -Homepage,10338,41,61,https://scholar.google.com/citations?hl=en&user=5aJ_dbEAAAAJ
